name,asset_type,is_loop,duration_sec,resolution,server_file_path,file_hash,reuse_count,source,confidence,needs_human,notes
Unwrapped_Intro_000030_FINAL_NO_AUDIO_4K_2997_Pr422.mov,clip_with_audio,false,30.47,3840x2160,Media/Assets/Unwrapped_Intro_000030_FINAL_NO_AUDIO_4K_2997_Pr422.mov,6bc8d1cc2ba94070d86bf2ae18647ced0c1c6cd4e9c9bc9a50097aee21ce83b8,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
UnWrapped_Intro.mov,clip_with_audio,false,30.0,1920x1080,Media/Assets/UnWrapped_Intro.mov,45d36801845bacaf2a603f7036e1fe9fc4c5dfa89b1f1f1213866fa9acc5698e,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
GSS Logo Short Inverted.png,graphic,false,,3840x364,Media/Assets/GSS Logo Short Inverted.png,a9ff1b0decf2a19ec89aedecc2c5d92da62233b559bbb46a84943748be81a85c,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
UnWrapped_Logo_White.png,graphic,false,,5790x789,Media/Assets/UnWrapped_Logo_White.png,73d15ddc4976aeebd16b553df3360cc7636272cc42c46655a3c5e562749cc1a6,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN_L3rd_ROB_STADLER_PR4444_v2.mov,clip_with_audio,false,10.01,3840x2160,Media/Assets/WWN_L3rd_ROB_STADLER_PR4444_v2.mov,aff3a6b88b6f795eacf2b57e8b53fb33f5a7d88010ee0164b7bb964bcd5cf26b,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN_L3rd_David_Rives_v04_FINAL_4K_2997_Pr4444.mov,clip_with_audio,false,10.01,3840x2160,Media/Assets/WWN_L3rd_David_Rives_v04_FINAL_4K_2997_Pr4444.mov,7418295c1958f03162b37efc0061d41c8344fe4596d30fc885874ecf356c10fc,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN_L3rd_Donate_FINAL_000010_4K_2997_Pr4444.mov,clip_with_audio,false,10.01,3840x2160,Media/Assets/WWN_L3rd_Donate_FINAL_000010_4K_2997_Pr4444.mov,6b0fe9c34078b81634c12258c4cedf98412c5ecbf7c51903b6e2ba3e07ce234e,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN_L3rd_ConnectWithUs_FINAL_000023_2800x1080_2997_Pr4444.mov,clip_with_audio,false,23.32,2800x1080,Media/Assets/WWN_L3rd_ConnectWithUs_FINAL_000023_2800x1080_2997_Pr4444.mov,9fa904b778ad9b6faf481048a6f8d68c015883185034be1de83c91c342ba9d9f,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN_Official_2019_Intro_wBroadcastAudio_4K_2997_Pr422HQ-003.mov,clip_with_audio,false,34.1,3840x2160,Media/Assets/WWN_Official_2019_Intro_wBroadcastAudio_4K_2997_Pr422HQ-003.mov,c8ef2c39a2d68e81ab9549d38cdfc6df3655c5e4ed6f65be5148dc070e57be29,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN_2019_30Sec_Mid-WWN_Promo_wBroadcastAudio_4K_2997_Pr422HQ.mov,clip_with_audio,false,32.1,3840x2160,Media/Assets/WWN_2019_30Sec_Mid-WWN_Promo_wBroadcastAudio_4K_2997_Pr422HQ.mov,f19e73b18bf0c82ef2aecaa9c28bd006a805ff6aa59e2bdb42788400bcf3bdfc,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
30 Second Pre-WWN Promo.mp4,clip_with_audio,false,30.03,3840x2160,Media/Assets/30 Second Pre-WWN Promo.mp4,7a8368bda316a1a28d7ccbbee87a6f5950298f1a036d33c55dda3fcaba01855a,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN clip 1 .mp4,clip_with_audio,false,38.47,3840x2160,Media/Assets/WWN clip 1 .mp4,ec9cf22977178f084d5d51fa7fa23155c612bb21595ef752f348a3ba789efb9d,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
THD_386_WhyCreate_MASTER_000500_4k_2997_50Mbps_H264.mp4,clip_with_audio,false,300.03,3840x2160,Media/Assets/THD_386_WhyCreate_MASTER_000500_4k_2997_50Mbps_H264.mp4,2486534fe1d084e2585410c30fc9a087d1dd0e30d2a180c01e5f1d6fd66e67ee,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN clip 2.mp4,clip_with_audio,false,6.81,3840x2160,Media/Assets/WWN clip 2.mp4,a846646d152eb300261fff9edc18d5e6ae2ec5ffb8e9a8d5d88aa17042be6f99,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
WWN clip 3.mp4,clip_with_audio,false,26.93,3840x2160,Media/Assets/WWN clip 3.mp4,0612937a5883871461ace18119efd797bb1b7db217876bddbad604d76c8bebdc,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
